cruise,station,cast,sample_name,date_start_UTC,time_start_UTC,date_end_UTC,time_end_UTC,lat_start,lon_start,lat_end,lon_end,depth_bottom,depth_target,depth_TDR,net_max_depth_m,avg_angle,max_wire_out_m,wire_rate_out_m_min,wire_rate_in_m_min,STW_start,SOG_start,STW_end,SOG_end,flowmeter_sn_335,flow_start_335,flow_end_335,tot_flow_counts_335,vol_filtered_m3_335,NOAA_335,DNA_335,flowmeter_sn_150,flow_start_150,flow_end_150,tot_flow_counts_150,vol_filtered_m3_150,morph_ID_150,DNA_150,size_fract_150,taxa_pick_150,size_fract_20,haul_factor_10m2_335,haul_factor_10m2_150,haul_factor_100m3_335,haul_factor_100m3_150,comments,primary_flag,secondary_flag
AR34B,L3,3,AR34B_L3_R3,15-04-19,06:47:00,15-04-19,06:54:00,40.864,-70.883,40.864,-70.884,54,51,NA,51,NA,NA,NA,NA,0.3,0.2,0.14,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Jar label has incorrect time. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L4,2,AR34B_L4_R2,15-04-19,05:06:00,15-04-19,05:12:00,40.698,-70.886,40.698,-70.887,65,62,NA,62,NA,NA,NA,NA,0.91,0.08,0.25,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L5,7,AR34B_L5_R7,17-04-19,06:31:00,17-04-19,06:35:00,40.513,-70.884,40.513,-70.884,76,73,NA,73,NA,NA,NA,NA,0.06,0.83,0.14,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Green sample. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L6,8,AR34B_L6_R8,17-04-19,08:14:00,17-04-19,08:20:00,40.364,-70.884,40.364,-70.884,93,90,NA,90,NA,NA,NA,NA,0.12,0.36,0.15,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L7,6,AR34B_L7_R6,17-04-19,03:32:00,17-04-19,03:40:53,40.226,-70.885,40.226,-70.884,126,123,NA,123,NA,NA,NA,NA,0.14,1.01,0.02,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L8,9,AR34B_L8_R9,18-04-19,02:10:00,18-04-19,02:20:00,40.137,-70.776,40.137,-70.776,133,130,NA,130,NA,NA,NA,NA,0.15,0.02,0.2,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Half salps. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L9,18,AR34B_L9_R18,22-04-19,05:41:00,22-04-19,05:51:00,40.099,-70.884,40.099,-70.884,147,144,NA,144,NA,NA,NA,NA,0.2,0.51,0.06,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR34B,L10,21,AR34B_L10_R21,22-04-19,15:32:00,22-04-19,15:52:00,NA,NA,NA,NA,445,200,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,"Cod end of ring net got tangled around the wire, not sure at what point of the tow it happened. No time to redo. Saved what was collected. OOI Pioneer cruise.",3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR34B,L11,10,AR34B_L11_R10,18-04-19,06:01:00,18-04-19,06:14:00,39.775,-70.883,39.775,-70.883,1567,200,NA,200,NA,NA,NA,NA,0.3,0.23,0.19,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR38,L2,19,AR38_L2_B19,22-09-19,08:25:00,22-09-19,08:30:00,41.03,-70.883,41.032,-70.881,45,40,NA,40,35,NA,20,20,1.38,1.59,1.97,2.1,29914,724319,734594,10275,80.68228592,Y,N,29913,826790,834309,7519,59.04137302,Y,Y,Y,N,N,4.957717738,6.774910195,1.239429434,1.693727549,NA,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR38,L3,2,AR38_L3_B2,20-09-19,20:33:05,20-09-19,20:39:05,40.856,-70.889,40.854,-70.89,55,50,NA,50,35,NA,30,30,1.52,1.21,1.53,1.88,29914,439818,499256,59438,82.26853175,Y,N,29913,600649,622563,21914,172.0750962,Y,Y,Y,N,N,6.077657999,2.905708095,1.2155316,0.581141619,5% of 150 um spilled.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
AR38,L3,16,AR38_L3_B16,22-09-19,04:37:00,22-09-19,04:43:00,40.864,-70.882,40.868,-70.881,53,48,NA,48,35,NA,30,30,1.97,2.01,1.8,2.09,29914,713993,724318,10325,106.6243471,Y,N,29913,816706,826788,10082,79.16679383,Y,Y,Y,N,N,4.501786067,6.063148156,0.937872097,1.263155866,Salpy but not bad as as L4.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
AR38,L4,14,AR38_L4_B14,22-09-19,02:12:05,22-09-19,02:20:00,40.702,-70.882,40.704,-70.876,68,60,NA,60,NA,NA,30,30,2.16,1.59,2.46,2.32,29914,693499,713997,20498,160.9562527,Y,N,29913,806104,816761,10657,83.68186092,Y,Y,Y,N,N,3.727720979,7.170012633,0.62128683,1.195002106,335 split into 3 jars (all salps and jelly). Dumped 21/2 150 um purely salps.,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR38,L6,8,AR38_L6_B8,21-09-19,05:06:00,21-09-19,05:25:05,41.524,-70.672,40.353,-70.893,93,88,80,80,45,NA,30,30,1.99,1.92,0.09,0.49,29914,499256,547568,48312,379.3598635,Y,N,29913,622560,660599,38039,298.6932821,Y,Y,Y,N,N,2.108815605,2.678332751,0.263601951,0.334791594,"Holding at 14 m wire out for about 7 mins at 10 m. Non quantitative. Labels in jars note time in UTC wrong, should be 05xx not 06xx.",1,NA
AR38,L7,9,AR38_L7_B8,21-09-19,07:10:05,21-09-19,07:25:00,40.223,-70.882,40.22,-70.89,125,120,121,121,40,NA,30,30,1.82,2.43,1.71,1.64,29914,547571,575057,27486,215.8280594,Y,N,29913,660594,687551,26957,211.6741977,Y,Y,Y,N,N,5.606314597,5.716332048,0.463331785,0.472424136,NA,1,NA
AR38,L9,10,AR38_L9_B10,21-09-19,09:09:00,21-09-19,09:27:00,40.096,-70.884,40.095,-70.894,145,140,140,140,35,NA,30,30,0.8,1.69,1.61,1.6,29914,575060,606074,31014,243.5309407,Y,N,29913,687554,718549,30995,243.3817471,Y,Y,Y,N,N,5.748756179,5.752280179,0.410625441,0.410877156,335 um 5-10 ml spilled.,1,NA
AR38,L10,11,AR38_L10_B11,21-09-19,11:32:00,21-09-19,11:59:00,39.936,-70.886,39.935,-70.903,450,200,NA,200,30,NA,30,30,0.21,0.39,1.65,2.21,29914,606673,656777,50104,393.4311682,Y,N,29913,718545,769193,50648,397.7028143,Y,Y,Y,N,N,5.083481334,5.028880682,0.254174067,0.251444034,NA,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR38,L11,12,AR38_L11_B12,21-09-19,15:18:00,21-09-19,15:43:00,39.771,-70.892,39.774,-70.91,1600,200,NA,200,NA,NA,30,30,1.79,2.64,1.4,2.24,29914,656778,693499,36721,288.3439631,Y,N,29913,769193,806102,36909,289.8201938,Y,Y,Y,N,N,6.936160474,6.900830388,0.346808024,0.345041519,Thin sample. Offshore.,3,Target depth used for net max depth due to unavailable TDR data and wire information.
AR39B,L1,1,AR39B_L1_R1,05-10-19,22:57:45,NA,NA,41.195,-70.885,NA,NA,NA,NA,NA,20,NA,20,NA,NA,0,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Kept most jellys. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L2,2,AR39B_L2_R2,06-10-19,00:30:00,NA,NA,41.03,-70.883,NA,NA,NA,NA,NA,40,NA,40,NA,NA,0.29,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Kept most jellys. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L3,3,AR39B_L3_R3,06-10-19,02:15:00,NA,NA,40.863,-70.883,NA,NA,NA,NA,NA,49,NA,49,NA,NA,0.34,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Kept most jellys. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L4,4,AR39B_L4_R4,06-10-19,04:05:00,NA,NA,40.697,-70.884,NA,NA,NA,NA,NA,60,NA,60,NA,NA,0.03,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L5,5,AR39B_L5_R5,06-10-19,06:02:00,NA,NA,40.515,-70.885,NA,NA,NA,NA,NA,71,NA,71,NA,NA,0.3,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L6,6,AR39B_L6_R6,06-10-19,14:56:30,NA,NA,40.364,-70.883,NA,NA,NA,NA,NA,87,NA,87,NA,NA,0.02,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,Sat at surface longer. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L7,8,AR39B_L7_R8,07-10-19,19:09:00,NA,NA,40.227,-70.883,NA,NA,NA,NA,NA,120,NA,120,NA,NA,0.15,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L8,7,AR39B_L8_R7,07-10-19,14:29:00,NA,NA,40.138,-70.774,NA,NA,NA,NA,NA,127,NA,127,NA,NA,0.2,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L9,9,AR39B_L9_R9,08-10-19,03:00:00,NA,NA,40.095,-70.887,NA,NA,NA,NA,NA,141,NA,141,NA,NA,0.1,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L10,11,AR39B_L10_R11,08-10-19,20:20:00,NA,NA,39.939,-70.882,NA,NA,NA,NA,NA,200,NA,200,NA,NA,0.15,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR39B,L11,10,AR39B_L11_R10,08-10-19,06:33:00,NA,NA,39.773,-70.886,NA,NA,NA,NA,NA,200,NA,200,NA,NA,0.28,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR61B,L3,3,AR61B_L3_R3,09-11-21,00:25:00,09-11-21,00:29:00,40.865,-70.884,40.865,-70.884,54,51,NA,51,NA,NA,NA,NA,0.2,0.72,0.06,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EtOH turned orange. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR61B,L5,5,AR61B_L5_R5,09-11-21,04:43:00,09-11-21,04:55:00,40.513,-70.884,40.513,-70.884,56,53,NA,53,NA,NA,NA,NA,0.22,0.88,0.19,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EtOH turned orange. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR61B,L6,18,AR61B_L6_R18,11-11-21,14:27:00,11-11-21,14:34:00,40.364,-70.883,40.364,-70.883,95,93,NA,93,NA,NA,NA,NA,0.01,0.2,0.02,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,EtOH turned green. Rhizo on IFCB. OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR61B,L9,11,AR61B_L9_R11,10-11-21,14:18:00,10-11-21,14:29:00,40.098,-70.883,40.098,-70.883,147,144,NA,144,NA,NA,NA,NA,0.19,0.48,0.23,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR61B,L10,7,AR61B_L10_R7,10-11-21,16:49:00,09-11-21,17:03:00,40.117,-70.824,39.94,-70.883,443,200,NA,200,NA,NA,NA,NA,10.6,10.31,0.63,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR61B,L11,9,AR61B_L11_R9,10-11-21,03:35:00,10-11-21,03:50:00,39.772,-70.864,39.772,-70.857,1580,200,NA,200,NA,NA,NA,NA,0.31,0.92,0.33,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,OOI Pioneer cruise.,3,Depth recorder (TDR) data not available. Net max depth was calculated based on wire information (cosine law).
AR63,L2,1,AR63_L2_B1,26-11-21,18:03:00,26-11-21,18:12:53,41.029127,-70.884557,41.028732,-70.889551,46,40,44,44,40,NA,10,10,1.73,1.14,1.74,1.71,NA,NA,456976,NA,154.2369591,N,Y,29913,NA,231398,NA,154.2369591,Y,Y,N,N,N,2.852753338,2.852753338,0.648353031,0.648353031,Forgot to get flow start. Get TDR time in and out. 150 cod end mesh detached. Non quantitative 150 micron sample.,3,volume sampled calculated based on ship speed and winch wire angle not flowmeter.
AR63,L4,8,AR63_L4_B8,28-11-21,06:19:00,28-11-21,06:34:00,40.696569,-70.88303,40.696341,-70.884847,65,60,60,60,35,70,10,10,0.23,0.8,1.03,1.46,NA,509386,533854,24468,192.1298464,Y,Y,29913,275325,297125,21800,171.1799351,Y,Y,Y,Y,N,3.122888043,3.505083699,0.52048134,0.584180616,Ship had stopped instead of 1-2 knots. Net at surface while we waited for ship speed.,1,NA
AR63,L5,2,AR63_L5_B2,26-11-21,22:20:00,26-11-21,22:40:00,NA,NA,NA,NA,77,70,64,64,35,NA,15,15,NA,NA,NA,NA,NA,456977,479712,22735,NA,N,Y,29913,231395,248634,17239,NA,Y,Y,N,N,N,NA,NA,NA,NA,NA,1,NA
AR63,L7,7,AR63_L7_B7,28-11-21,02:20:13,28-11-21,02:36:51,40.225701,-70.886537,40.22898,-70.89664,125,120,119,119,40,150,20,20,0.56,1.88,0.93,1.86,NA,479723,509386,29663,232.9224961,Y,Y,29913,248592,275325,26733,209.9152846,Y,Y,Y,Y,N,5.108995568,5.66895356,0.429327359,0.476382652,NA,1,NA
